BATSMEN,,R,B,M,4s,6s,SR
Tamim Iqbal,b Mohammed Shami,22,31,39,3,0,70.97
Soumya Sarkar,c Kohli b Pandya,33,38,67,4,0,86.84
Shakib Al Hasan,c Karthik b Pandya,66,74,111,6,0,89.19
Mushfiqur Rahim,c Mohammed Shami b Chahal,24,23,29,3,0,104.35
Liton Das,c Karthik b Pandya,22,24,31,0,1,91.67
Mosaddek Hossain,b Bumrah,3,7,13,0,0,42.86
Sabbir Rahman,b Bumrah,36,36,55,5,0,100.00
Mohammad Saifuddin,not out,51,38,72,9,0,134.21
Mashrafe Mortaza,c Dhoni b Kumar,8,5,8,0,1,160.00
Rubel Hossain,b Bumrah,9,11,18,1,0,81.82
Mustafizur Rahman,b Bumrah,0,1,2,0,0,0.00
