BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Bhuvneshwar Kumar,2.4,0,8,0,3.00,12,1,0,1,0
Jasprit Bumrah,8,0,52,0,6.50,24,8,0,0,1
Vijay Shankar,5.2,0,22,2,4.13,19,2,0,2,0
Hardik Pandya,8,0,44,2,5.50,21,5,0,1,0
Kuldeep Yadav,9,1,32,2,3.56,28,1,0,0,0
Yuzvendra Chahal,7,0,53,0,7.57,13,1,3,2,0
