BATSMEN,,R,B,M,4s,6s,SR
Brendan Taylor,lbw b Khurram Chohan,0,1,1,0,0,0.00
Charles Coventry,lbw b Baidwan,4,10,16,0,0,40.00
Tatenda Taibu,c Davison b Balaji Rao,98,99,147,9,0,98.99
Craig Ervine,c Bagai b Balaji Rao,85,81,114,6,2,104.94
Elton Chigumbura,c Bagai b Rizwan Cheema,5,8,6,1,0,62.50
Sean Williams,c Bagai b Balaji Rao,30,25,34,3,0,120.00
Greg Lamb,b Balaji Rao,11,13,12,1,0,84.62
Prosper Utseya,c Hansra b Khurram Chohan,22,29,40,2,0,75.86
Graeme Cremer,b Baidwan,26,23,31,2,0,113.04
Ray Price,not out,10,6,14,2,0,166.67
Chris Mpofu,not out,3,5,9,0,0,60.00
