BATSMEN,,R,B,M,4s,6s,SR
John Davison,b Price,0,8,5,0,0,0.00
Nitish Kumar,c & b Price,1,10,22,0,0,10.00
Ruvindu Gunasekera,b Lamb,24,64,76,2,0,37.50
Ashish Bagai,c Williams b Price,0,1,1,0,0,0.00
Jimmy Hansra,st Taibu b Utseya,20,41,53,1,1,48.78
Rizwan Cheema,c Cremer b Utseya,14,10,9,2,1,140.00
Zubin Surkari,st Taibu b Lamb,26,48,70,2,0,54.17
Tyson Gordon,lbw b Cremer,7,20,13,1,0,35.00
Khurram Chohan,lbw b Cremer,8,22,22,1,0,36.36
Harvir Baidwan,not out,13,23,29,1,0,56.52
Balaji Rao,b Cremer,1,6,3,0,0,16.67
