BATSMEN,,R,B,M,4s,6s,SR
Herschelle Gibbs,c Jacobs b Dillon,24,28,36,4,0,85.71
Gary Kirsten,c & b Dillon,69,92,133,6,1,75.00
Boeta Dippenaar,st Jacobs b Hooper,20,25,31,2,1,80.00
Jacques Kallis,c Jacobs b Collins,13,18,22,2,0,72.22
Jonty Rhodes,b Hooper,2,6,11,0,0,33.33
Mark Boucher,b Gayle,49,49,67,4,1,100.00
Shaun Pollock,c Hooper b Gayle,4,4,4,0,0,100.00
Lance Klusener,c Hooper b Drakes,57,48,71,1,5,118.75
Nicky Boje,not out,25,25,46,2,0,100.00
Makhaya Ntini,c Sarwan b Drakes,0,2,3,0,0,0.00
Allan Donald,not out,0,0,2,0,0,0.00
