BATSMEN,,R,B,M,4s,6s,SR
Saeed Anwar,lbw b Anderson,29,60,78,3,0,48.33
Shahid Afridi,c Stewart b Caddick,6,6,12,0,1,100.00
Inzamam-ul-Haq,c Knight b Anderson,0,1,4,0,0,0.00
Mohammad Yousuf,b Anderson,0,1,1,0,0,0.00
Younis Khan,c Stewart b Flintoff,5,27,46,0,0,18.52
Abdul Razzaq,b White,11,21,32,1,0,52.38
Rashid Latif,c Stewart b Anderson,0,4,4,0,0,0.00
Wasim Akram,c Giles b White,7,14,32,1,0,50.00
Saqlain Mushtaq,not out,12,33,43,2,0,36.36
Waqar Younis,c Knight b White,2,3,3,0,0,66.67
Shoaib Akhtar,b Flintoff,43,16,22,5,3,268.75
