BATSMEN,,R,B,M,4s,6s,SR
Marcus Trescothick,c Rashid Latif b Wasim Akram,1,11,12,0,0,9.09
Nick Knight,c Abdul Razzaq b Waqar Younis,15,28,46,0,1,53.57
Michael Vaughan,c Younis Khan b Shoaib Akhtar,52,64,92,7,0,81.25
Nasser Hussain,c Rashid Latif b Waqar Younis,8,9,16,1,0,88.89
Alec Stewart,b Shahid Afridi,30,34,51,4,0,88.24
Paul Collingwood,not out,66,73,112,4,0,90.41
Andrew Flintoff,st Rashid Latif b Saqlain Mushtaq,26,38,39,3,0,68.42
Craig White,c Younis Khan b Shahid Afridi,15,22,26,2,0,68.18
Ashley Giles,c Shahid Afridi b Saqlain Mushtaq,17,23,23,0,1,73.91
Andy Caddick,not out,3,3,15,0,0,100.00
