BATSMEN,,R,B,M,4s,6s,SR
Ahmed Shehzad,c Clarke b Hazlewood,5,13,23,0,0,38.46
Sarfaraz Ahmed,c Watson b Starc,10,16,19,1,0,62.50
Haris Sohail,c Haddin b Johnson,41,57,94,4,0,71.93
Misbah-ul-Haq,c Finch b Maxwell,34,59,75,1,2,57.63
Umar Akmal,c Finch b Maxwell,20,25,24,2,0,80.00
Sohaib Maqsood,c Johnson b Hazlewood,29,44,63,1,0,65.91
Shahid Afridi,c Finch b Hazlewood,23,15,21,3,1,153.33
Wahab Riaz,c Haddin b Starc,16,22,35,2,0,72.73
Ehsan Adil,c Starc b Faulkner,15,22,32,1,0,68.18
Sohail Khan,c Haddin b Hazlewood,4,5,7,0,0,80.00
Rahat Ali,not out,6,21,20,0,0,28.57
