BATSMEN,,R,B,M,4s,6s,SR
David Boon,run out (Harris),100,133,176,11,0,75.19
Geoff Marsh,c Latham b Larsen,19,56,60,2,0,33.93
Dean Jones,run out (Cairns),21,27,28,3,0,77.78
Allan Border,c Cairns b Patel,3,9,13,0,0,33.33
Tom Moody,c & b Latham,7,11,10,0,0,63.64
Mark Waugh,lbw b Larsen,2,5,9,0,0,40.00
Steve Waugh,c & b Larsen,38,34,48,3,1,111.76
Ian Healy,not out,7,9,16,0,0,77.78
Craig McDermott,run out (Harris),1,1,4,0,0,100.00
Peter Taylor,c Rutherford b Watson,1,2,3,0,0,50.00
Bruce Reid,c AH Jones b Harris,3,4,4,0,0,75.00
