BATSMEN,,R,B,M,4s,6s,SR
Ahmed Shehzad,c Jadeja b Yadav,47,73,95,5,0,64.38
Younis Khan,c Dhoni b Mohammed Shami,6,10,13,1,0,60.00
Haris Sohail,c Raina b Ashwin,36,48,60,3,0,75.00
Misbah-ul-Haq,c Rahane b Mohammed Shami,76,84,118,9,1,90.48
Sohaib Maqsood,c Raina b Yadav,0,2,1,0,0,0.00
Umar Akmal,c Dhoni b Jadeja,0,4,5,0,0,0.00
Shahid Afridi,c Kohli b Mohammed Shami,22,22,39,1,1,100.00
Wahab Riaz,c Dhoni b Mohammed Shami,4,2,2,1,0,200.00
Yasir Shah,c Yadav b Sharma,13,23,32,1,0,56.52
Sohail Khan,c Yadav b Sharma,7,10,21,1,0,70.00
Mohammad Irfan,not out,1,5,6,0,0,20.00
