BATSMEN,,R,B,M,4s,6s,SR
Sanath Jayasuriya,run out (Srinath),3,7,10,0,0,42.86
Romesh Kaluwitharana,lbw b Srinath,7,15,20,1,0,46.67
Marvan Atapattu,lbw b Mohanty,29,29,50,5,0,100.00
Aravinda de Silva,lbw b Singh,56,74,105,7,0,75.68
Mahela Jayawardene,lbw b Kumble,4,5,4,1,0,80.00
Arjuna Ranatunga,b Singh,42,57,83,7,0,73.68
Roshan Mahanama,run out (Tendulkar),32,45,56,3,0,71.11
Chaminda Vaas,c Ramesh b Singh,1,4,4,0,0,25.00
Eric Upashantha,c Azharuddin b Singh,5,17,13,0,0,29.41
Pramodya Wickramasinghe,not out,2,6,7,0,0,33.33
Muttiah Muralitharan,c Tendulkar b Singh,4,3,4,1,0,133.33
