BATSMEN,,R,B,M,4s,6s,SR
Upul Tharanga,c Shahid Afridi b Mohammad Hafeez,33,43,64,6,0,76.74
Tillakaratne Dilshan,b Shahid Afridi,41,55,81,5,0,74.55
Kumar Sangakkara,c Ahmed Shehzad b Shahid Afridi,49,61,109,2,1,80.33
Mahela Jayawardene,b Shoaib Akhtar,2,10,12,0,0,20.00
Thilan Samaraweera,st Kamran Akmal b Shahid Afridi,1,4,6,0,0,25.00
Chamara Silva,st Kamran Akmal b Abdur Rehman,57,78,115,5,0,73.08
Angelo Mathews,c Ahmed Shehzad b Shahid Afridi,18,20,24,2,0,90.00
Thisara Perera,b Shoaib Akhtar,8,6,14,1,0,133.33
Nuwan Kulasekara,c Umar Akmal b Umar Gul,24,14,21,2,1,171.43
Rangana Herath,not out,4,10,20,0,0,40.00
Muttiah Muralitharan,not out,0,1,1,0,0,0.00
