BATSMEN,,R,B,M,4s,6s,SR
Quinton de Kock,run out (Mushfiqur Rahim),23,32,41,4,0,71.88
Aiden Markram,b Shakib Al Hasan,45,56,78,4,0,80.36
Faf du Plessis,b Mehidy Hasan Miraz,62,53,64,5,1,116.98
David Miller,c Mehidy Hasan Miraz b Mustafizur Rahman,38,43,62,2,0,88.37
Rassie van der Dussen,b Mohammad Saifuddin,41,38,61,2,1,107.89
Jean-Paul Duminy,b Mustafizur Rahman,45,37,62,4,0,121.62
Andile Phehlukwayo,c Shakib Al Hasan b Mohammad Saifuddin,8,13,18,1,0,61.54
Chris Morris,c Soumya Sarkar b Mustafizur Rahman,10,10,16,1,0,100.00
Kagiso Rabada,not out,13,9,21,0,1,144.44
Imran Tahir,not out,10,10,13,0,0,100.00
