BATSMEN,,R,B,M,4s,6s,SR
Nasser Hussain,b Ganguly,33,63,89,3,0,52.38
Alec Stewart,c Azharuddin b Mohanty,2,9,14,0,0,22.22
Graeme Hick,b Mohanty,0,1,1,0,0,0.00
Graham Thorpe,lbw b Srinath,36,57,92,7,0,63.16
Neil Fairbrother,c Mongia b Ganguly,29,62,93,2,0,46.77
Andrew Flintoff,lbw b Kumble,15,21,34,1,1,71.43
Adam Hollioake,lbw b Kumble,6,13,15,0,0,46.15
Mark Ealham,c Azharuddin b Ganguly,0,3,3,0,0,0.00
Darren Gough,c Kumble b Prasad,19,25,28,1,0,76.00
Angus Fraser,not out,15,17,27,3,0,88.24
Alan Mullally,b Srinath,0,2,4,0,0,0.00
