BATSMEN,,R,B,M,4s,6s,SR
Graeme Smith,b Syed Rasel,12,24,26,1,0,50.00
AB de Villiers,b Abdur Razzak,15,39,73,1,0,38.46
Jacques Kallis,c Tamim Iqbal b Syed Rasel,32,36,41,5,0,88.89
Justin Kemp,c & b Shakib Al Hasan,7,29,40,0,0,24.14
Ashwell Prince,run out (Mohammad Rafique/Aftab Ahmed),1,7,11,0,0,14.29
Mark Boucher,c Syed Rasel b Shakib Al Hasan,12,26,19,0,1,46.15
Herschelle Gibbs,not out,56,59,85,1,2,94.92
Shaun Pollock,run out (Tamim Iqbal),17,23,32,0,0,73.91
Andre Nel,c & b Mohammad Rafique,1,5,4,0,0,20.00
Charl Langeveldt,lbw b Abdur Razzak,9,32,28,0,0,28.13
Makhaya Ntini,c Mashrafe Mortaza b Abdur Razzak,8,11,10,1,0,72.73
