BATSMEN,,R,B,M,4s,6s,SR
Sachin Tendulkar,c & b McGrath,4,5,2,1,0,80.00
Virender Sehwag,run out (Lehmann),82,81,107,10,3,101.23
Sourav Ganguly,c Lehmann b Lee,24,25,44,3,1,96.00
Mohammad Kaif,c Gilchrist b McGrath,0,3,4,0,0,0.00
Rahul Dravid,b Bichel,47,57,87,2,0,82.46
Yuvraj Singh,c Lee b Hogg,24,34,48,1,0,70.59
Dinesh Mongia,c Martyn b Symonds,12,11,18,2,0,109.09
Harbhajan Singh,c McGrath b Symonds,7,8,12,0,0,87.50
Zaheer Khan,c Lehmann b McGrath,4,8,20,0,0,50.00
Javagal Srinath,b Lee,1,4,6,0,0,25.00
Ashish Nehra,not out,8,4,7,2,0,200.00
