BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Gerrie Snyman,10,0,49,0,4.90,34,6,0,1,1
Louis Burger,10,1,70,0,7.00,31,9,2,0,0
Bjorn Kotze,10,1,75,0,7.50,21,4,3,2,0
Lennie Louw,10,0,60,1,6.00,27,7,0,1,0
Deon Kotze,7,0,56,0,8.00,10,3,1,0,0
Jan-Berrie Burger,3,0,23,1,7.67,6,3,0,0,0
