BATSMEN,,R,B,M,4s,6s,SR
Glenn Turner,c Kanhai b Roberts,36,74,-,3,0,48.65
John Morrison,lbw b Julien,5,26,-,0,0,19.23
Geoff Howarth,c Murray b Roberts,51,93,-,3,0,54.84
John Parker,b Lloyd,3,12,-,0,0,25.00
Brian Hastings,not out,24,57,-,4,0,42.11
Ken Wadsworth,c Lloyd b Julien,11,21,-,1,0,52.38
Brian McKechnie,lbw b Julien,1,9,-,0,0,11.11
Dayle Hadlee,c Holder b Julien,0,10,-,0,0,0.00
Lance Cairns,b Holder,10,14,-,1,0,71.43
Hedley Howarth,b Holder,0,1,-,0,0,0.00
Richard Collinge,b Holder,2,4,-,0,0,50.00
