BATSMEN,,R,B,M,4s,6s,SR
Aaron Finch,c Mohammad Hafeez b Mohammad Amir,82,84,94,6,4,97.62
David Warner,c Imam-ul-Haq b Shaheen Shah Afridi,107,111,161,11,1,96.40
Steven Smith,c Asif Ali b Mohammad Hafeez,10,13,28,1,0,76.92
Glenn Maxwell,b Shaheen Shah Afridi,20,10,20,2,1,200.00
Shaun Marsh,c Shoaib Malik b Mohammad Amir,23,26,46,2,0,88.46
Usman Khawaja,c Wahab Riaz b Mohammad Amir,18,16,18,3,0,112.50
Alex Carey,lbw b Mohammad Amir,20,21,31,2,0,95.24
Nathan Coulter-Nile,c Sarfaraz Ahmed b Wahab Riaz,2,3,9,0,0,66.67
Pat Cummins,c Sarfaraz Ahmed b Hasan Ali,2,6,6,0,0,33.33
Mitchell Starc,c Shoaib Malik b Mohammad Amir,3,6,10,0,0,50.00
Kane Richardson,not out,1,1,3,0,0,100.00
