BATSMEN,,R,B,M,4s,6s,SR
Fraser Watts,b McGrath,9,25,40,0,0,36.00
Majid Haq,run out (McGrath/Tait),16,22,23,2,0,72.73
Navdeep Poonia,b Tait,1,4,4,0,0,25.00
Ryan Watson,c Bracken b McGrath,6,20,21,0,0,30.00
Gavin Hamilton,c Gilchrist b McGrath,3,18,23,0,0,16.67
Dougie Brown,c SR Watson b Hodge,19,37,55,3,0,51.35
Colin Smith,b Hogg,51,76,93,7,0,67.11
Craig Wright,lbw b Tait,4,21,12,0,0,19.05
Glenn Rogers,run out (Hayden/Gilchrist),6,19,29,0,0,31.58
Paul Hoffmann,not out,0,0,1,0,0,0.00
John Blain,absent null,-,-,-,-,-,0.00
