BATSMEN,,R,B,M,4s,6s,SR
Devon Smith,lbw b Mohammad Hafeez,7,14,25,1,0,50.00
Chris Gayle,c Shahid Afridi b Umar Gul,8,9,12,2,0,88.89
Ramnaresh Sarwan,c Umar Akmal b Shahid Afridi,24,68,92,2,0,35.29
Darren Bravo,lbw b Mohammad Hafeez,0,3,2,0,0,0.00
Shivnarine Chanderpaul,not out,44,106,156,0,1,41.51
Kieron Pollard,c Kamran Akmal b Shahid Afridi,1,7,9,0,0,14.29
Devon Thomas,lbw b Shahid Afridi,0,1,1,0,0,0.00
Daren Sammy,lbw b Saeed Ajmal,1,3,3,0,0,33.33
Devendra Bishoo,b Saeed Ajmal,0,3,3,0,0,0.00
Kemar Roach,c Younis Khan b Abdul Razzaq,16,43,60,2,0,37.21
Ravi Rampaul,b Shahid Afridi,0,5,4,0,0,0.00
