BATSMEN,,R,B,M,4s,6s,SR
Dimuth Karunaratne,c Maxwell b Richardson,97,108,132,9,0,89.81
Kusal Perera,b Starc,52,36,64,5,1,144.44
Lahiru Thirimanne,c Carey b Behrendorff,16,26,34,1,0,61.54
Kusal Mendis,c Carey b Starc,30,37,68,0,2,81.08
Angelo Mathews,c Carey b Cummins,9,11,14,2,0,81.82
Milinda Siriwardana,b Starc,3,4,5,0,0,75.00
Thisara Perera,c Warner b Starc,7,3,4,0,1,233.33
Dhananjaya de Silva,not out,16,30,43,2,0,53.33
Isuru Udana,c Finch b Richardson,8,8,8,1,0,100.00
Lasith Malinga,c Khawaja b Richardson,1,5,9,0,0,20.00
Nuwan Pradeep,c Carey b Cummins,0,7,21,0,0,0.00
