BATSMEN,,R,B,M,4s,6s,SR
Chamu Chibhabha,c Duminy b Imran Tahir,64,82,93,10,0,78.05
Sikandar Raza,b Philander,5,13,27,1,0,38.46
Hamilton Masakadza,c Amla b Imran Tahir,80,74,98,8,2,108.11
Brendan Taylor,c Philander b Morkel,40,40,51,4,1,100.00
Sean Williams,c de Kock b Duminy,8,13,26,1,0,61.54
Craig Ervine,c de Villiers b Steyn,13,21,29,0,1,61.90
Elton Chigumbura,run out (de Villiers),8,7,13,0,1,114.29
Solomon Mire,c de Villiers b Philander,27,25,28,2,2,108.00
Tinashe Panyangara,c de Villiers b Imran Tahir,4,4,3,1,0,100.00
Tendai Chatara,c & b Morkel,6,11,21,1,0,54.55
Tafadzwa Kamungozi,not out,0,0,4,0,0,0.00
