BATSMEN,,R,B,M,4s,6s,SR
Andrew Hudson,c Lara b Cummins,22,60,67,3,0,36.67
Kepler Wessels,c Haynes b Marshall,1,9,11,0,0,11.11
Peter Kirsten,c Williams b Marshall,56,91,124,2,0,61.54
Mark Rushmere,st Williams b Hooper,10,24,24,0,0,41.67
Adrian Kuiper,b Ambrose,23,29,31,0,1,79.31
Jonty Rhodes,c Williams b Cummins,22,27,33,0,0,81.48
Brian McMillan,c Lara b Benjamin,20,29,44,2,0,68.97
David Richardson,not out,20,26,41,1,0,76.92
Richard Snell,c Haynes b Ambrose,3,6,5,0,0,50.00
Meyrick Pringle,not out,5,6,12,0,0,83.33
