BATSMEN,,R,B,M,4s,6s,SR
Desmond Haynes,c DJ Richardson b Kuiper,30,83,113,3,0,36.14
Brian Lara,c Rhodes b Pringle,9,13,14,2,0,69.23
Sir Richie Richardson,lbw b Pringle,1,3,7,0,0,33.33
Carl Hooper,c Wessels b Pringle,0,4,3,0,0,0.00
Keith Arthurton,c Wessels b Pringle,0,4,6,0,0,0.00
Gus Logie,c Pringle b Kuiper,61,69,102,9,1,88.41
Malcolm Marshall,c Rhodes b Snell,6,10,14,1,0,60.00
David Williams,c DJ Richardson b Snell,0,3,2,0,0,0.00
Sir Curtly Ambrose,run out,12,15,24,2,0,80.00
Anderson Cummins,c McMillan b Donald,6,24,30,0,0,25.00
Winston Benjamin,not out,1,4,9,0,0,25.00
