BATSMEN,,R,B,M,4s,6s,SR
Gary Kirsten,run out,38,60,86,4,0,63.33
Steve Palframan,c Russell b Martin,28,36,51,3,0,77.78
Hansie Cronje,c Russell b Gough,15,31,43,1,0,48.39
Daryll Cullinan,b DeFreitas,34,42,49,2,0,80.95
Jacques Kallis,c Russell b Cork,26,42,59,2,0,61.90
Jonty Rhodes,b Martin,37,32,37,3,0,115.63
Brian McMillan,b Smith,11,17,25,0,0,64.71
Shaun Pollock,c Fairbrother b Cork,12,13,17,0,0,92.31
Pat Symcox,c Thorpe b Martin,1,4,4,0,0,25.00
Craig Matthews,not out,9,13,20,0,0,69.23
Fanie de Villiers,c Smith b Gough,12,11,13,1,0,109.09
