BATSMEN,,R,B,M,4s,6s,SR
Mike Atherton,c Palframan b Pollock,0,4,2,0,0,0.00
Neil Smith,b de Villiers,11,24,45,1,0,45.83
Graeme Hick,c McMillan b de Villiers,14,27,24,1,0,51.85
Graham Thorpe,c Palframan b Symcox,46,69,101,3,0,66.67
Alec Stewart,run out,7,29,41,0,0,24.14
Neil Fairbrother,c Palframan b Symcox,3,10,15,0,0,30.00
Jack Russell,c Rhodes b Pollock,12,32,30,0,0,37.50
Dominic Cork,b Matthews,17,33,45,1,0,51.52
Phil DeFreitas,run out,22,24,34,1,1,91.67
Darren Gough,b Matthews,11,12,13,2,0,91.67
Peter Martin,not out,1,3,7,0,0,33.33
