BATSMEN,,R,B,M,4s,6s,SR
Sadiq Mohammad,b Lillee,4,12,-,0,0,33.33
Majid Khan,c Marsh b Mallett,65,76,-,11,0,85.53
Zaheer Abbas,c Turner b Thomson,8,10,-,2,0,80.00
Mushtaq Mohammad,c GS Chappell b Walters,8,32,-,0,0,25.00
Asif Iqbal,b Lillee,53,95,-,8,0,55.79
Wasim Raja,c Thomson b Walker,31,57,-,4,0,54.39
Imran Khan,c Turner b Walker,9,19,-,1,0,47.37
Sarfraz Nawaz,c Marsh b Lillee,0,2,-,0,0,0.00
Wasim Bari,c Marsh b Lillee,2,18,-,0,0,11.11
Asif Masood,c Walker b Lillee,6,7,-,1,0,85.71
Naseer Malik,not out,0,13,-,0,0,0.00
