BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Patrick Patterson,10,1,51,2,5.10,-,-,-,0,0
Courtney Walsh,10,1,40,4,4.00,-,-,-,0,0
Eldine Baptiste,8,1,33,0,4.13,-,-,-,0,0
Roger Harper,10,0,28,1,2.80,-,-,-,0,0
Carl Hooper,10,0,38,1,3.80,-,-,-,0,0
Sir Viv Richards,2,0,10,0,5.00,-,-,-,0,0
