BATSMEN,,R,B,M,4s,6s,SR
Martin Guptill,b Malinga,39,65,91,3,0,60.00
Brendon McCullum,b Herath,13,21,27,1,1,61.90
Jesse Ryder,c Sangakkara b Muralitharan,19,34,48,2,0,55.88
Ross Taylor,c Tharanga b Mendis,36,55,90,1,0,65.45
Scott Styris,lbw b Muralitharan,57,77,119,5,0,74.03
Kane Williamson,lbw b Malinga,22,16,23,3,0,137.50
Nathan McCullum,c Sangakkara b Malinga,9,9,9,0,1,100.00
Jacob Oram,c Jayawardene b Dilshan,7,9,14,1,0,77.78
Daniel Vettori,not out,3,3,10,0,0,100.00
Tim Southee,c Sangakkara b Mendis,0,3,3,0,0,0.00
Andy McKay,b Mendis,0,2,1,0,0,0.00
