BATSMEN,,R,B,M,4s,6s,SR
Sunil Gavaskar,c RJ Hadlee b DR Hadlee,12,14,15,2,0,85.71
Farokh Engineer,lbw b RJ Hadlee,24,36,15,3,0,66.67
Anshuman Gaekwad,c Hastings b RJ Hadlee,37,51,73,3,0,72.55
Gundappa Viswanath,lbw b McKechnie,2,9,49,0,0,22.22
Brijesh Patel,c Wadsworth b HJ Howarth,9,32,42,1,0,28.13
Eknath Solkar,c Wadsworth b HJ Howarth,13,10,9,2,0,130.00
Syed Abid Ali,c HJ Howarth b McKechnie,70,98,107,5,1,71.43
Madan Lal,c & b McKechnie,20,44,52,4,0,45.45
Mohinder Amarnath,c Morrison b DR Hadlee,1,3,4,0,0,33.33
Srinivas Venkataraghavan,not out,26,58,48,3,0,44.83
Bishan Bedi,run out,6,10,8,0,0,60.00
