BATSMEN,,R,B,M,4s,6s,SR
Tamim Iqbal,b Shaheen Shah Afridi,8,21,40,0,0,38.10
Soumya Sarkar,c Fakhar Zaman b Mohammad Amir,22,22,20,4,0,100.00
Shakib Al Hasan,c Sarfaraz Ahmed b Shaheen Shah Afridi,64,77,109,6,0,83.12
Mushfiqur Rahim,b Wahab Riaz,16,19,29,2,0,84.21
Liton Das,c Haris Sohail b Shaheen Shah Afridi,32,40,38,3,0,80.00
Mahmudullah,b Shaheen Shah Afridi,29,41,64,3,0,70.73
Mosaddek Hossain,c Babar Azam b Shadab Khan,16,21,36,1,0,76.19
Mohammad Saifuddin,c Mohammad Amir b Shaheen Shah Afridi,0,1,5,0,0,0.00
Mehidy Hasan,not out,7,6,20,1,0,116.67
Mashrafe Mortaza,st Sarfaraz Ahmed b Shadab Khan,15,14,14,0,2,107.14
Mustafizur Rahman,b Shaheen Shah Afridi,1,3,5,0,0,33.33
