BATSMEN,,R,B,M,4s,6s,SR
Hazratullah Zazai,b Mohammed Shami,10,24,32,1,0,41.67
Gulbadin Naib,c Shankar b Pandya,27,42,78,2,0,64.29
Rahmat Shah,c Chahal b Bumrah,36,63,94,3,0,57.14
Hashmatullah Shahidi,c & b Bumrah,21,45,53,2,0,46.67
Asghar Afghan,b Chahal,8,19,33,0,0,42.11
Mohammad Nabi,c Pandya b Mohammed Shami,52,55,105,4,1,94.55
Najibullah Zadran,c Chahal b Pandya,21,23,32,2,0,91.30
Rashid Khan,st Dhoni b Chahal,14,16,20,1,0,87.50
Ikram Alikhil,not out,7,10,28,0,0,70.00
Aftab Alam,b Mohammed Shami,0,1,2,0,0,0.00
Mujeeb Ur Rahman,b Mohammed Shami,0,1,2,0,0,0.00
