BATSMEN,,R,B,M,4s,6s,SR
Al Sahariar,c Otieno b MA Suji,14,12,14,2,1,116.67
Mohammad Ashraful,lbw b MA Suji,1,9,19,0,0,11.11
Tushar Imran,c sub (JO Angara) b Odumbe,48,81,119,3,1,59.26
Khaled Mashud,c Shah b Obuya,14,41,61,1,0,34.15
Alok Kapali,c Otieno b Odumbe,18,26,41,1,1,69.23
Akram Khan,c sub (JO Angara) b Tikolo,44,60,76,3,0,73.33
Sanwar Hossain,c MA Suji b Odumbe,16,28,27,1,0,57.14
Khaled Mahmud,st Otieno b Odumbe,3,7,8,0,0,42.86
Mohammad Rafique,c Modi b Tikolo,5,14,16,0,0,35.71
Tapash Baisya,not out,2,4,8,0,0,50.00
Manjurul Islam,st Otieno b Tikolo,2,5,6,0,0,40.00
