BATSMEN,,R,B,M,4s,6s,SR
Geoff Marsh,c Richardson b Kuiper,25,72,89,1,0,34.72
David Boon,run out (Snell/Cronje),27,32,31,4,0,84.38
Dean Jones,c Richardson b McMillan,24,51,79,1,0,47.06
Allan Border,b Kuiper,0,1,1,0,0,0.00
Tom Moody,lbw b Donald,10,33,47,0,0,30.30
Steve Waugh,c Cronje b McMillan,27,51,58,1,0,52.94
Ian Healy,c McMillan b Donald,16,24,34,2,0,66.67
Peter Taylor,b Donald,4,9,18,0,0,44.44
Craig McDermott,run out (Rhodes/Snell),6,12,20,0,0,50.00
Mike Whitney,not out,9,15,19,1,0,60.00
Bruce Reid,not out,5,10,13,0,0,50.00
