BATSMEN,,R,B,M,4s,6s,SR
William Porterfield,c Masakadza b Williams,29,61,81,1,0,47.54
Paul Stirling,c Williams b Panyangara,10,11,12,2,0,90.91
Ed Joyce,c Ervine b Chatara,112,103,142,9,3,108.74
Andy Balbirnie,run out (Chakabva/Taylor),97,79,127,7,4,122.78
Kevin O'Brien,c Chakabva b Chatara,24,22,26,4,0,109.09
Gary Wilson,c Chakabva b Williams,25,13,14,3,1,192.31
John Mooney,b Williams,10,4,2,2,0,250.00
Niall O'Brien,c Panyangara b Chatara,2,4,4,0,0,50.00
George Dockrell,not out,5,3,8,0,0,166.67
Alex Cusack,not out,2,3,4,0,0,66.67
