BATSMEN,,R,B,M,4s,6s,SR
Chamu Chibhabha,c Porterfield b Cusack,18,32,36,3,0,56.25
Sikandar Raza,c Stirling b Mooney,12,19,32,2,0,63.16
Solomon Mire,c Cusack b Dockrell,11,21,37,1,0,52.38
Hamilton Masakadza,c GC Wilson b O'Brien,5,7,8,0,0,71.43
Brendan Taylor,c O'Brien b Cusack,121,91,110,11,4,132.97
Sean Williams,c Mooney b O'Brien,96,83,131,7,2,115.66
Craig Ervine,c O'Brien b McBrine,11,16,25,1,0,68.75
Regis Chakabva,b Cusack,17,16,36,1,0,106.25
Tinashe Panyangara,c Porterfield b Mooney,5,5,4,0,0,100.00
Tawanda Mupariwa,c Porterfield b Cusack,18,7,11,2,1,257.14
Tendai Chatara,not out,1,1,2,0,0,100.00
