BATSMEN,,R,B,M,4s,6s,SR
Dimuth Karunaratne,c Buttler b Archer,1,8,9,0,0,12.50
Kusal Perera,c Ali b Woakes,2,6,12,0,0,33.33
Avishka Fernando,c Rashid b Wood,49,39,50,6,2,125.64
Kusal Mendis,c Morgan b Rashid,46,68,110,2,0,67.65
Angelo Mathews,not out,85,115,146,5,1,73.91
Jeevan Mendis,c & b Rashid,0,1,2,0,0,0.00
Dhananjaya de Silva,c Root b Archer,29,47,48,1,0,61.70
Thisara Perera,c Rashid b Archer,2,6,12,0,0,33.33
Isuru Udana,c Root b Wood,6,4,7,1,0,150.00
Lasith Malinga,b Wood,1,5,9,0,0,20.00
Nuwan Pradeep,not out,1,1,8,0,0,100.00
