BATSMEN,,R,B,M,4s,6s,SR
Brendan Taylor,c Jayawardene b Mathews,80,72,101,9,1,111.11
Regis Chakabva,b Muralitharan,35,61,83,3,0,57.38
Tatenda Taibu,c Sangakkara b Mathews,4,6,8,0,0,66.67
Prosper Utseya,st Sangakkara b Dilshan,4,11,21,0,0,36.36
Craig Ervine,lbw b Dilshan,17,21,23,2,0,80.95
Elton Chigumbura,c Perera b Muralitharan,6,11,21,0,0,54.55
Greg Lamb,c Jayawardene b Dilshan,0,1,1,0,0,0.00
Graeme Cremer,not out,14,27,42,1,0,51.85
Ray Price,c Samaraweera b Perera,11,15,22,2,0,73.33
Tinashe Panyangara,lbw b Dilshan,0,4,2,0,0,0.00
Chris Mpofu,b Muralitharan,1,5,4,0,0,20.00
