BATSMEN,,R,B,M,4s,6s,SR
Marvan Atapattu,c Kaif b Srinath,0,7,8,0,0,0.00
Sanath Jayasuriya,c Kaif b Srinath,12,19,45,1,0,63.16
Jehan Mubarak,c Dravid b Srinath,0,2,3,0,0,0.00
Mahela Jayawardene,lbw b Khan,0,4,5,0,0,0.00
Aravinda de Silva,lbw b Srinath,0,3,6,0,0,0.00
Kumar Sangakkara,c Yuvraj Singh b Nehra,30,33,55,4,0,90.91
Russel Arnold,lbw b Khan,8,28,49,1,0,28.57
Chaminda Vaas,c Tendulkar b Nehra,9,15,21,1,0,60.00
Prabath Nissanka,c Kaif b Nehra,0,4,10,0,0,0.00
Dilhara Fernando,not out,13,10,21,2,0,130.00
Muttiah Muralitharan,c Kaif b Nehra,16,14,19,3,0,114.29
