BATSMEN,,R,B,M,4s,6s,SR
Rick McCosker,c Fredericks b Julien,0,3,2,0,0,0.00
Alan Turner,lbw b Roberts,7,18,39,0,0,38.89
Ian Chappell,c Murray b Boyce,25,63,87,0,0,39.68
Greg Chappell,c Murray b Boyce,15,33,45,0,0,45.45
Doug Walters,run out,7,18,22,0,0,38.89
Ross Edwards,b Richards,58,74,94,6,0,78.38
Rod Marsh,not out,52,84,127,4,0,61.90
Max Walker,lbw b Holder,8,22,18,1,0,36.36
Jeff Thomson,c Holder b Richards,1,3,2,0,0,33.33
Dennis Lillee,b Roberts,3,12,20,0,0,25.00
Ashley Mallett,c Murray b Roberts,0,1,1,0,0,0.00
