BATSMEN,,R,B,M,4s,6s,SR
Roshan Mahanama,run out (Jones/McDermott),7,10,9,1,0,70.00
Athula Samarasekera,c Healy b Taylor,34,63,87,3,0,53.97
Asanka Gurusinha,lbw b Whitney,5,23,30,1,0,21.74
Aravinda de Silva,c Moody b McDermott,62,83,133,2,0,74.70
Arjuna Ranatunga,c Jones b Taylor,23,52,48,0,0,44.23
Sanath Jayasuriya,lbw b Border,15,29,25,1,0,51.72
Hashan Tillakaratne,run out (ME Waugh/Healy),5,13,17,0,0,38.46
Ruwan Kalpage,run out (SR Waugh/ME Waugh),14,15,25,1,0,93.33
Champaka Ramanayake,run out (ME Waugh),5,10,12,0,0,50.00
Don Anurasiri,not out,4,4,6,0,0,100.00
