BATSMEN,,R,B,M,4s,6s,SR
Chris Gayle,run out (Prince),32,35,54,3,0,91.43
Shivnarine Chanderpaul,c GC Smith b Pollock,4,7,12,0,0,57.14
Devon Smith,c de Villiers b Nel,33,27,39,4,0,122.22
Brian Lara,b Kallis,21,26,44,1,0,80.77
Ramnaresh Sarwan,c Pollock b Ntini,92,75,124,10,1,122.67
Dwayne Bravo,c Gibbs b Pollock,6,11,20,0,0,54.55
Kieron Pollard,b Kallis,10,17,23,1,0,58.82
Denesh Ramdin,c sub (RJ Peterson) b GC Smith,4,9,9,0,0,44.44
Ian Bradshaw,c Hall b GC Smith,20,45,58,1,0,44.44
Daren Powell,not out,48,36,46,2,3,133.33
Corey Collymore,not out,12,12,16,0,1,100.00
