BATSMEN,,R,B,M,4s,6s,SR
William Porterfield,c du Plessis b Abbott,12,17,17,2,0,70.59
Paul Stirling,c de Kock b Steyn,9,6,11,2,0,150.00
Ed Joyce,c Amla b Steyn,0,4,7,0,0,0.00
Niall O'Brien,c Amla b Abbott,14,9,21,2,0,155.56
Andy Balbirnie,c Rossouw b Morkel,58,71,81,7,0,81.69
Gary Wilson,lbw b Abbott,0,3,6,0,0,0.00
Kevin O'Brien,c Rossouw b Abbott,48,65,90,3,1,73.85
John Mooney,b de Villiers,8,15,16,0,0,53.33
George Dockrell,b Morkel,25,57,61,1,1,43.86
Max Sorensen,c de Kock b Morkel,22,19,31,3,1,115.79
Andy McBrine,not out,2,4,9,0,0,50.00
