BATSMEN,,R,B,M,4s,6s,SR
Marcus Trescothick,c Martyn b McGrath,37,36,60,6,1,102.78
Nick Knight,c Martyn b Bichel,30,33,45,4,0,90.91
Michael Vaughan,c Gilchrist b Bichel,2,5,7,0,0,40.00
Nasser Hussain,b Bichel,1,3,4,0,0,33.33
Alec Stewart,b Bichel,46,92,118,1,0,50.00
Paul Collingwood,c Gilchrist b Bichel,10,16,24,0,1,62.50
Andrew Flintoff,c Gilchrist b Bichel,45,80,81,3,1,56.25
Craig White,not out,16,21,36,1,0,76.19
Ashley Giles,c Bevan b Bichel,2,7,9,0,0,28.57
Andy Caddick,not out,5,11,17,0,0,45.45
