BATSMEN,,R,B,M,4s,6s,SR
Dipak Chudasama,run out,34,66,98,5,0,51.52
Tariq Iqbal,b Lock,1,20,20,0,0,5.00
Kennedy Otieno,b Peall,19,51,64,0,0,37.25
Steve Tikolo,st A Flower b BC Strang,0,6,4,0,0,0.00
Maurice Odumbe,c BC Strang b PA Strang,30,64,92,1,0,46.88
Hitesh Modi,b BC Strang,3,10,7,0,0,30.00
Tito Odumbe,c Campbell b PA Strang,20,55,51,0,0,36.36
Thomas Odoyo,c GW Flower b PA Strang,0,2,1,0,0,0.00
Aasif Karim,lbw b PA Strang,0,1,1,0,0,0.00
Martin Suji,c GW Flower b PA Strang,15,23,21,1,0,65.22
Rajab Ali,not out,0,0,1,0,0,0.00
