BATSMEN,,R,B,M,4s,6s,SR
Luuk van Troost,c Bichel b Lehmann,23,33,35,3,0,69.70
Daan van Bunge,c Martyn b Gillespie,1,3,5,0,0,33.33
Bas Zuiderent,c Maher b Gillespie,5,17,16,0,0,29.41
Klaas-Jan van Noortwijk,lbw b Lehmann,13,22,25,2,0,59.09
Tim de Leede,c Maher b Bichel,24,38,29,1,1,63.16
Reinout Scholte,lbw b Bichel,8,25,27,0,0,32.00
Edgar Schiferli,b Harvey,9,8,12,0,1,112.50
Feiko Kloppenburg,c Ponting b Bichel,9,11,20,2,0,81.82
Roland Lefebvre,not out,14,20,26,1,0,70.00
Jeroen Smits,c Maher b Harvey,0,2,3,0,0,0.00
Jacob-Jan Esmeijer,c Ponting b Harvey,0,4,7,0,0,0.00
