BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Eddo Brandes,5,1,28,1,5.60,-,-,-,0,0
Kevin Duers,6,0,17,1,2.83,-,-,-,0,0
Ali Shah,4,0,34,0,8.50,-,-,-,0,0
Iain Butchart,4,0,53,1,13.25,-,-,-,0,0
Mark Burmester,1.5,0,17,0,9.27,-,-,-,0,0
