BATSMEN,,R,B,M,4s,6s,SR
Azhar Saeed,lbw b DeFreitas,9,36,47,1,0,25.00
Ganesh Mylvaganam,c Fairbrother b DeFreitas,0,6,9,0,0,0.00
Mazhar Hussain,b Smith,33,59,89,6,0,55.93
Vijay Mehra,c Russell b Smith,1,34,46,0,0,2.94
Mohammad Aslam,b Gough,23,47,40,1,0,48.94
Arshad Laeeq,b Smith,0,6,6,0,0,0.00
Saleem Raza,b Cork,10,31,45,0,0,32.26
Johanne Samarasekera,run out,29,39,57,3,0,74.36
Sultan Zarawani,b Cork,2,8,10,0,0,25.00
Shaukat Dukanwala,lbw b Illingworth,15,21,25,1,0,71.43
Imtiaz Abbasi,not out,1,5,4,0,0,20.00
