BATSMEN,,R,B,M,4s,6s,SR
Rahmat Shah,c Babar Azam b Imad Wasim,35,43,54,5,0,81.40
Gulbadin Naib,c Sarfaraz Ahmed b Shaheen Shah Afridi,15,12,22,3,0,125.00
Hashmatullah Shahidi,c Imad Wasim b Shaheen Shah Afridi,0,1,2,0,0,0.00
Ikram Alikhil,c Mohammad Hafeez b Imad Wasim,24,66,90,1,0,36.36
Asghar Afghan,b Shadab Khan,42,35,51,3,2,120.00
Mohammad Nabi,c Mohammad Amir b Wahab Riaz,16,33,53,0,0,48.48
Najibullah Zadran,b Shaheen Shah Afridi,42,54,75,6,0,77.78
Samiullah Shinwari,not out,19,32,59,1,0,59.38
Rashid Khan,c Fakhar Zaman b Shaheen Shah Afridi,8,12,11,1,0,66.67
Hamid Hassan,b Wahab Riaz,1,3,9,0,0,33.33
Mujeeb Ur Rahman,not out,7,9,10,1,0,77.78
