BATSMEN,,R,B,M,4s,6s,SR
Aaron Finch,b Southee,14,7,10,1,1,200.00
David Warner,lbw b Southee,34,42,58,2,1,80.95
Shane Watson,c Southee b Vettori,23,30,44,2,0,76.67
Michael Clarke,c Williamson b Boult,12,18,37,1,0,66.67
Steven Smith,c Ronchi b Vettori,4,11,17,0,0,36.36
Glenn Maxwell,b Boult,1,3,4,0,0,33.33
Mitchell Marsh,b Boult,0,2,3,0,0,0.00
Brad Haddin,c sub (TWM Latham) b Anderson,43,41,70,4,2,104.88
Mitchell Johnson,c Williamson b Boult,1,7,6,0,0,14.29
Mitchell Starc,b Boult,0,3,2,0,0,0.00
Pat Cummins,not out,7,30,51,1,0,23.33
