BATSMEN,,R,B,M,4s,6s,SR
Feiko Kloppenburg,c Streak b Hondo,18,56,78,2,0,32.14
Edgar Schiferli,b Streak,22,27,51,3,0,81.48
Bas Zuiderent,run out (Ebrahim/Taibu),15,31,56,0,1,48.39
Daan van Bunge,lbw b Whittall,37,47,67,5,0,78.72
Tim de Leede,lbw b Murphy,1,2,4,0,0,50.00
Luuk van Troost,c Hondo b Murphy,26,25,25,2,1,104.00
Reinout Scholte,c Blignaut b Murphy,7,26,29,0,0,26.92
Henk-Jan Mol,c sub (HK Olonga) b Marillier,23,40,55,2,0,57.50
Roland Lefebvre,b Marillier,30,23,25,4,1,130.43
Jeroen Smits,not out,8,11,17,0,0,72.73
Jacob-Jan Esmeijer,not out,3,13,10,0,0,23.08
