BATSMEN,,R,B,M,4s,6s,SR
Graeme Fowler,c JJ Crowe b Chatfield,69,112,98,9,0,61.61
Chris Tavare,c Cairns b Coney,18,44,55,1,0,40.91
Sir Ian Botham,c & b Bracewell,12,9,13,1,1,133.33
David Gower,not out,92,96,123,6,4,95.83
Allan Lamb,c JJ Crowe b Cairns,8,14,16,1,0,57.14
Mike Gatting,b Cairns,1,5,9,0,0,20.00
Ian Gould,lbw b Cairns,4,14,13,0,0,28.57
Vic Marks,b Hadlee,5,15,23,0,0,33.33
Graham Dilley,b Hadlee,10,19,24,0,0,52.63
Paul Allott,c Smith b Hadlee,0,1,1,0,0,0.00
Bob Willis,lbw b Chatfield,0,3,2,0,0,0.00
