BATSMEN,,R,B,M,4s,6s,SR
Chris Gayle,c Vandersay b Rajitha,35,48,70,1,2,72.92
Sunil Ambris,c Perera b Malinga,5,6,11,1,0,83.33
Shai Hope,b Malinga,5,11,13,1,0,45.45
Shimron Hetmyer,run out (de Silva),29,38,62,2,0,76.32
Nicholas Pooran,c Perera b Mathews,118,103,156,11,4,114.56
Jason Holder,c sub (BMAJ Mendis) b Vandersay,26,26,38,4,0,100.00
Carlos Brathwaite,run out (Udana),8,15,33,1,0,53.33
Fabian Allen,run out (Rajitha/Udana),51,32,50,7,1,159.38
Sheldon Cottrell,not out,7,10,35,0,0,70.00
Oshane Thomas,lbw b Malinga,1,6,8,0,0,16.67
Shannon Gabriel,not out,3,7,7,0,0,42.86
