BATSMEN,,R,B,M,4s,6s,SR
Amjad Ali,lbw b Holder,5,19,28,0,0,26.32
Andri Berenger,c Ramdin b Holder,7,7,16,1,0,100.00
Krishna Chandran,c Smith b Holder,0,6,9,0,0,0.00
Khurram Khan,b Taylor,5,5,8,1,0,100.00
Shaiman Anwar,b Taylor,2,6,16,0,0,33.33
Swapnil Patil,b Holder,6,20,33,0,0,30.00
Amjad Javed,b Russell,56,99,133,7,1,56.57
Nasir Aziz,c Holder b Samuels,60,86,120,8,0,69.77
Mohammad Naveed,b Russell,14,9,6,1,1,155.56
Mohammad Tauqir,b Taylor,2,19,18,0,0,10.53
Manjula Guruge,not out,4,10,13,0,0,40.00
