BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Kevin Hurdle,9,1,61,2,6.78,31,6,0,5,10
Saleem Mukuddem,10,0,50,2,5.00,36,3,1,3,0
Janeiro Tucker,10,0,50,0,5.00,35,3,1,0,2
Dwayne Leverock,10,0,67,1,6.70,18,6,0,0,0
Delyone Borden,3,0,27,0,9.00,2,2,0,0,0
Lionel Cann,5,0,34,1,6.80,8,2,0,3,0
Irving Romaine,3,0,29,0,9.67,4,2,1,0,1
