BATSMEN,,R,B,M,4s,6s,SR
Ishwar Maraj,lbw b Bond,0,14,16,0,0,0.00
John Davison,c Cairns b CZ Harris,75,62,93,9,4,120.97
Nicholas Ifill,c McCullum b Oram,7,15,16,1,0,46.67
Ian Billcliff,c Fleming b Styris,8,24,31,0,0,33.33
Nicholas de Groot,lbw b Oram,17,49,56,3,0,34.69
Joe Harris,c McCullum b Bond,26,39,62,3,0,66.67
Ashish Bagai,b Oram,1,2,6,0,0,50.00
Abdool Samad,lbw b Bond,12,20,21,2,0,60.00
Austin Codrington,b Oram,7,17,30,1,0,41.18
Ashish Patel,b Styris,25,29,43,3,0,86.21
Barry Seebaran,not out,4,12,20,0,0,33.33
