BATSMEN,,R,B,M,4s,6s,SR
Kyle Coetzer,c & b Malinga,0,2,2,0,0,0.00
Calum MacLeod,b Kulasekara,11,21,33,0,0,52.38
Matt Machan,lbw b Dilshan,19,31,50,1,0,61.29
Preston Mommsen,c Thirimanne b NLTC Perera,60,75,93,7,0,80.00
Freddie Coleman,c NLTC Perera b Kulasekara,70,74,93,7,0,94.59
Richie Berrington,c Kulasekara b Chameera,29,22,51,2,2,131.82
Michael Leask,c Sangakkara b Kulasekara,2,7,7,0,0,28.57
Matthew Cross,c Sangakkara b Chameera,7,10,8,0,0,70.00
Rob Taylor,c NLTC Perera b Malinga,3,6,7,0,0,50.00
Josh Davey,c Thirimanne b Chameera,4,7,12,0,0,57.14
Alasdair Evans,not out,1,5,9,0,0,20.00
