BATSMEN,,R,B,M,4s,6s,SR
Lahiru Thirimanne,c Mommsen b Evans,4,21,20,0,0,19.05
Tillakaratne Dilshan,c MacLeod b Davey,104,99,144,10,1,105.05
Kumar Sangakkara,c Cross b Davey,124,95,139,13,4,130.53
Mahela Jayawardene,c MacLeod b Davey,2,6,13,0,0,33.33
Angelo Mathews,c Coleman b Machan,51,21,32,1,6,242.86
Kusal Perera,c MacLeod b Taylor,24,13,17,2,2,184.62
Thisara Perera,c Coleman b Berrington,7,11,16,0,0,63.64
Seekkuge Prasanna,c Coleman b Evans,3,5,7,0,0,60.00
Nuwan Kulasekara,not out,18,17,26,1,1,105.88
Lasith Malinga,c Leask b Berrington,1,3,5,0,0,33.33
Dushmantha Chameera,not out,12,9,15,1,0,133.33
