BATSMEN,,R,B,M,4s,6s,SR
Kyle Coetzer,c Elliott b Southee,1,10,20,0,0,10.00
Calum MacLeod,lbw b Boult,0,1,5,0,0,0.00
Hamish Gardiner,lbw b Boult,0,1,2,0,0,0.00
Matt Machan,c McCullum b Anderson,56,79,111,7,1,70.89
Preston Mommsen,lbw b Southee,0,1,3,0,0,0.00
Richie Berrington,c Milne b Anderson,50,80,104,4,1,62.50
Matthew Cross,c Ronchi b Anderson,14,18,28,2,0,77.78
Josh Davey,not out,11,19,36,1,0,57.89
Rob Taylor,st Ronchi b Vettori,4,6,6,0,0,66.67
Majid Haq,c LRPL Taylor b Vettori,0,2,6,0,0,0.00
Iain Wardlaw,lbw b Vettori,0,1,4,0,0,0.00
