BATSMEN,,R,B,M,4s,6s,SR
Virender Sehwag,lbw b Wahab Riaz,38,25,32,9,0,152.00
Sachin Tendulkar,c Shahid Afridi b Saeed Ajmal,85,115,160,11,0,73.91
Gautam Gambhir,st Kamran Akmal b Mohammad Hafeez,27,32,55,2,0,84.38
Virat Kohli,c Umar Akmal b Wahab Riaz,9,21,20,0,0,42.86
Yuvraj Singh,b Wahab Riaz,0,1,1,0,0,0.00
MS Dhoni,lbw b Wahab Riaz,25,42,64,2,0,59.52
Suresh Raina,not out,36,39,69,3,0,92.31
Harbhajan Singh,st Kamran Akmal b Saeed Ajmal,12,15,28,2,0,80.00
Zaheer Khan,c Kamran Akmal b Wahab Riaz,9,10,14,1,0,90.00
Ashish Nehra,run out (Wahab Riaz/Kamran Akmal),1,2,1,0,0,50.00
Munaf Patel,not out,0,0,1,0,0,0.00
