BATSMEN,,R,B,M,4s,6s,SR
Kamran Akmal,c Yuvraj Singh b Khan,19,21,40,3,0,90.48
Mohammad Hafeez,c Dhoni b Patel,43,59,66,7,0,72.88
Asad Shafiq,b Yuvraj Singh,30,39,61,2,0,76.92
Younis Khan,c Raina b Yuvraj Singh,13,32,44,0,0,40.63
Misbah-ul-Haq,c Kohli b Khan,56,76,134,5,1,73.68
Umar Akmal,b Harbhajan Singh,29,24,35,1,2,120.83
Abdul Razzaq,b Patel,3,9,12,0,0,33.33
Shahid Afridi,c Sehwag b Harbhajan Singh,19,17,25,1,0,111.76
Wahab Riaz,c Tendulkar b Nehra,8,14,16,1,0,57.14
Umar Gul,lbw b Nehra,2,3,9,0,0,66.67
Saeed Ajmal,not out,1,5,18,0,0,20.00
