BATSMEN,,R,B,M,4s,6s,SR
Bas Zuiderent,b Pollock,1,10,3,0,0,10.00
Darron Reekers,run out (Prince),4,6,2,1,0,66.67
Alexei Kervezee,c Pollock b Langeveldt,17,52,34,2,0,32.69
Ryan ten Doeschate,run out (de Villiers),57,74,119,8,1,77.03
Daan van Bunge,lbw b Hall,5,16,20,1,0,31.25
Eric Szwarczynski,lbw b Smith,12,31,28,2,0,38.71
Tim de Leede,b Kemp,21,36,36,2,0,58.33
Peter Borren,run out (Kallis/Smith),2,6,13,0,0,33.33
Luuk van Troost,c Smith b Kemp,5,6,10,1,0,83.33
Billy Stelling,not out,1,4,3,0,0,25.00
