BATSMEN,,R,B,M,4s,6s,SR
Graeme Smith,c Gilchrist b Hogg,74,69,128,9,2,107.25
AB de Villiers,run out (Watson),92,70,194,14,2,131.43
Jacques Kallis,c Clarke b Hogg,48,63,114,5,0,76.19
Herschelle Gibbs,st Gilchrist b Hogg,17,19,30,1,1,89.47
Ashwell Prince,c Hayden b McGrath,1,3,6,0,0,33.33
Mark Boucher,b Tait,22,26,26,1,1,84.62
Justin Kemp,lbw b Tait,1,6,9,0,0,16.67
Shaun Pollock,b Watson,7,7,15,1,0,100.00
Andrew Hall,not out,8,12,23,0,0,66.67
Charl Langeveldt,b Bracken,0,6,8,0,0,0.00
Makhaya Ntini,b Bracken,7,8,11,1,0,87.50
